BJD_TDB,Source_AMag_T1
2460874.769887822,14.08270706124225
2460874.7811160544,14.167316711559804
2460874.792459201,14.337807483425625
2460874.803617557,14.683093123958644
2460874.8147525764,14.952259239329022
2460874.8259808565,14.76035862766284
2460874.8371854424,14.43127864574214
2460874.8483900623,14.18275387045648
2460874.8576729395,14.082643587202073

2460878.7576426137,13.960303725159283
2460878.768916545,14.06954814401625
2460878.780167195,14.262097692597104
2460878.791347976,14.481473281186634
2460878.802598695,14.579322765521315
2460878.8138495088,14.465480996006432
2460878.825099954,14.248387995449852
2460878.836234897,14.086476830095815
2460878.8474623933,14.020170895253637

2460886.7255309024,13.97807724510255
2460886.736781052,14.074069547315116
2460886.748100718,14.272934002915369
2460886.7593514454,14.477292693496455
2460886.7706018058,14.567415346332124
2460886.7818054613,14.422809279408115
2460886.7929632994,14.18985891887282
2460886.8042830094,14.06908498809301
2460886.8155562114,13.981447046852148

2460903.702743049,13.986561818782672
2460903.71390144,14.093086771152404
2460903.72508172,14.258277550130243
2460903.734017705,14.422404512001355
2460903.745175528,14.534175635008904
2460903.756425448,14.416983518251588
2460903.7676762296,14.256672406829814
2460903.778810729,14.052666782162946
2460903.790037983,13.97429621977772

2460906.6456829007,14.101560495832576
2460906.656980044,14.209581624390236
2460906.668160457,14.442014611298408
2460906.679341901,14.735796172425292
2460906.690524102,14.9464090646519
2460906.7017034213,14.70544377896741
2460906.7129075057,14.392668490636137
2460906.7241344936,14.170878881146168
2460906.7353868578,14.044825886881322

2460906.81992347,13.976072662857668
2460906.831104124,14.099372059100087
2460906.842377734,14.23393814780611
2460906.8536280124,14.44789929002304
2460906.8649012693,14.52290077466794
2460906.876224288,14.368319560496875
2460906.8875406184,14.178748683639068
2460906.8988148044,14.038314422639235
2460906.91013366,13.96097170472554

2460910.8011973486,14.071524716727236
2460910.8124939976,14.206750086438698
2460910.8238369785,14.379898036578682
2460910.834971764,14.691523457287612
2460910.846083481,14.970935543440117
2460910.857380559,14.75722200583213
2460910.8685386674,14.441593866691434
2460910.8797656856,14.176746867546614
2460910.890969422,14.077910425448724

2460911.669691344,13.961504927386954
2460911.6809415244,14.060496405678306
2460911.6921924227,14.229942340858171
2460911.703512471,14.41150724162371
2460911.714693936,14.513340575160663
2460911.725874792,14.38953558586036
2460911.737194785,14.179143901322394
2460911.7483754256,14.037718850275748
2460911.7596036056,13.962670022905057

2460914.615214007,14.098679221050824
2460914.626380952,14.19377420713738
2460914.6375154294,14.45381097179576
2460914.6487429203,14.776174952574385
2460914.659923366,14.93112571994805
2460914.671057892,14.713365720970623
2460914.6822848897,14.347831519444018
2460914.6935123503,14.152805355189846
2460914.7046467103,14.03466085583

2460915.820736307,13.912611613363204
2460915.832055962,13.988562071748198
2460915.843306709,14.130614949138966
2460915.854556723,14.337372401330525
2460915.865737784,14.480343003647944
2460915.8768721865,14.469386779549431
2460915.8880312447,14.282665472262428
2460915.899164596,14.10006711067295
2460915.910298709,13.980168685699503

2460920.848791901,14.073952329583346
2460920.8599721724,14.169177842362355
2460920.8712915853,14.40675871502986
2460920.882518193,14.690382504407536
2460920.8938146937,14.948840080072
2460920.9050184693,14.762014838840482
2460920.9163379176,14.409956888252736
2460920.927587968,14.18393515550464
2460920.9389072405,14.081213433554636
