Label,slice,Saturated,J.D.-2400000,JD_UTC,EXPTIME,MOONANGL,MOONPHAS,BJD_TDB,BJD_UTC,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_AMag_C4,Source_AMag_Err_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_AMag_C5,Source_AMag_Err_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_AMag_C6,Source_AMag_Err_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_AMag_C7,Source_AMag_Err_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_AMag_C8,Source_AMag_Err_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,N_Src_Pixels_C2,N_Sky_Pixels_C2,N_Src_Pixels_C3,N_Sky_Pixels_C3,N_Src_Pixels_C4,N_Sky_Pixels_C4,N_Src_Pixels_C5,N_Sky_Pixels_C5,N_Src_Pixels_C6,N_Sky_Pixels_C6,N_Src_Pixels_C7,N_Sky_Pixels_C7,N_Src_Pixels_C8,N_Sky_Pixels_C8
LIGHT_2025-07-08_03-19-33_I_200.00s_0_4_-10.00c_7.73_0177_calibrated.fits,2,0,60864.84807260381,2460864.848072604,200,64.30341301321555,0.9355,2460864.8514356315,2460864.850634892,6.589591531106706,6.394018205843497,1.414,3.5,10,30,0.1235122364609646,0.3051706492495504,0.1851219480258722,0.2874043146046993,0.155356300361706,0.0978664419649972,0.0837764274386228,0.0938837918060214,0.0017782374263902,0.0031930287875663,0.00234496205992,0.003070275972643,0.0021417413834208,0.0017541862324257,0.001653262776417,0.0017265826497125,69.4576745646896,95.57403629992088,78.94453867291473,93.6086257931057,72.53737615769836,55.79022349848512,50.673388788311726,54.37549822573113,307425.4270770892,1433.74548624373,2745.970749914723,1845.992611122172,2746.470749914723,1826.507388877828,22.28114567389854,22.49290636012821,37970.80204325848,128.4392052876805,517.1990492243134,11.939628401703915,0.0155201655762881,73.41622553290935,1138,295.6324897698548,139.40241635687732,2152,6.568946633046065,4.399635398872631,4.394886906744154,4.404383891001108,49.58473824818868,0.9865447940342772,2920.1809350031126,1915.2211225384444,2920.6809350031126,1757.2788774615556,22.27757354703423,22.547324069859044,71881.18828053544,642.3739147858673,11.251,0.0096596990683258,111.89929513949323,1765,559.6514562631766,139.8501240694789,6.8807360505363775,4.50487561705303,4.561996949781143,4.447754284324917,21.54387650986141,0.9658631315151616,2638.3306469831355,1693.4035255449555,2638.8306469831355,1979.0964744550445,22.28198597180421,22.420562417178708,48021.38212695901,556.9596848781432,11.723,0.0125200770908355,86.2205711306835,1373,373.8841424579034,139.0071056371388,6.698899885348036,4.521148248201064,4.461100140306785,4.581196356095344,67.84541239076675,0.9635492323181624,2828.7697775152587,1795.4634080475291,2829.2697775152587,1877.0365919524709,22.278411204050244,22.489354592914943,68630.64940735229,633.1233983574231,11.262,0.0099700889276347,108.40011534150818,1828,534.3434604226344,143.68050193050192,6.633324242341544,4.537864701929006,4.35230221577497,4.723427188083042,280.0721437039263,0.916505026957815,2826.8880044260777,1584.1304176142603,2827.3880044260777,2088.36958238574,22.275834216689265,22.41450957427792,41338.310071846834,531.0047631058283,11.854,0.0138578387166004,77.84922649292353,1259,321.851182271461,139.47432878002826,6.520166757367992,4.382919740374159,4.312899025614076,4.452940455134241,272.8179667692567,0.9684003692705448,2532.539108131444,1798.4763768763155,2533.039108131444,1874.0236231236845,22.285982146177314,22.43936096126613,27404.638276177186,473.0120418728386,12.299,0.0185802305058052,57.93644949856153,946,213.36661352579836,140.86984600099353,6.0442932300367085,4.449331215469725,4.409636615515034,4.489025815424415,309.3852881158047,0.912218503558892,2734.0653337005056,1901.4898963361904,2734.5653337005056,1771.0101036638096,22.28213873763398,22.510419887646027,23764.130066180056,454.92290666151104,12.453,0.0205880910291956,52.23770823187399,799,185.02240038742636,139.29582747304266,6.6266645115309135,4.498137954922331,4.375838609905647,4.620437299939016,84.7223813681526,0.9461735463812132,2905.8995642082327,1910.899447513812,2906.3995642082327,1761.6005524861878,22.27788331503449,22.543340930569904,26385.12884803838,468.264074638008,12.326,0.0190998680486181,56.34668614805744,773,205.42893261399817,140.0810245687402,6.743700938646013,4.432893633107094,4.409460585390262,4.456326680823926,307.9087352852711,0.9577428393628228,128.43920528768044,2015,128.43920528768044,2111,128.43920528768044,2072,128.43920528768044,2123,128.43920528768044,2013,128.43920528768044,2133,128.43920528768044,1913
LIGHT_2025-07-10_02-43-08_I_500.00s_0_4_-20.00c_4.46_0158_calibrated.fits,7,0,60866.82451648172,2460866.8245164817,500,62.71268732966904,0.9953,2460866.828020966,2460866.827220227,2.97865137505777,4.822293723731775,1.414,3.5,10,30,0.0774554536273703,0.3036199925300211,0.182049359849919,0.2942697887087664,0.1565373523501891,0.0980135536046931,0.0834671723916394,0.0917840553411191,0.0009482943590635,0.0019830307915815,0.0014492498982881,0.0019421164793024,0.0013392572629197,0.001091972444229,0.0010273083312828,0.0010666269899884,81.67870333412574,153.10906609164314,125.61626539699432,151.52015434958074,116.88370612896831,89.75826644956582,81.24841379161674,86.05075270232334,787944.2457471794,2288.962827255958,2742.8947493929936,1851.290122152725,2743.3947493929936,1821.209877847275,22.281153313286424,22.49293567430169,61030.57898742389,73.05621900953406,725.8648378206512,12.446273361359324,0.0132120556607473,84.07981184301904,6941,835.3919736724838,781.6655992680695,2186,3.0114304604735014,3.3385552769058053,3.3232491067701817,3.3538614470414285,312.1334563268374,0.9120618260198258,2917.254468904126,1920.394183983781,2917.754468904126,1752.105816016219,22.27757725788228,22.547336484227845,183516.38313212077,1024.933692858326,11.251,0.0060469350018614,179.05195663958696,20722,2511.9885154222297,785.5236714975846,2.8784045031708603,3.4095074229200604,3.3417201927854374,3.477294653054683,301.2795074254776,0.9171659144456128,2635.381115578032,1698.5674214453254,2635.881115578032,1973.9325785546744,22.28198766863601,22.42057825206541,121352.58510178796,886.376840527235,11.723,0.0079015522996244,136.9085693051332,15102,1661.0849390652295,786.5903783278842,2.9283778169887467,3.3391593246088616,3.310674392875036,3.367644256342687,311.65268934676374,0.862950622034171,2825.626937034131,1800.5534151058632,2826.126937034131,1871.9465848941368,22.27841848830773,22.489309413130783,179149.80998021673,1016.7446883741718,11.262,0.0061445543489769,176.1994058377494,21068,2452.2184751559225,789.8488549618321,2.961424383384768,3.374102038117812,3.332036649538675,3.416167426696949,304.97621857887174,0.929736204656774,2823.718323676257,1589.2560127771517,2824.218323676257,2083.243987222849,22.275842219257296,22.41449692033491,106648.26845253776,849.6073007000624,11.854,0.0086151842665525,125.52654428070632,12394,1459.8109496827346,782.6537735849057,2.9788063067714603,3.367732922698464,3.35391340370037,3.381552441696557,313.2730845308323,0.8719013402010896,2529.4713637346013,1803.5706903625364,2529.9713637346013,1868.929309637464,22.285985379399445,22.439314072075256,70335.3936884596,754.4391737091157,12.299,0.011583926224656,93.22871364521478,8911,962.7571018872552,788.6572522738152,3.0944004418640016,3.2868292984550864,3.193295396966878,3.3803631999432957,298.91039402559346,0.8983552233540172,2731.064530345001,1906.6312856943864,2731.564530345001,1765.8687143056136,22.282142531051388,22.510400203757992,60700.94218877467,724.7906567845337,12.453,0.0128872860217404,83.74962014282684,6975,830.8798759603616,780.3407267579047,3.041097141215769,3.3677015579155736,3.2458952216206813,3.489507894210466,297.7014850377719,0.8799175586089494,2903.053698500644,1916.1338985634795,2903.553698500644,1756.3661014365207,22.277885623700623,22.54338862720444,66240.86320328192,743.7039442219957,12.326,0.0121219302249851,89.06886095995884,7184,906.7108057513528,791.5661322645291,2.9352699465930536,3.313085909981107,3.209430331413488,3.416741488548726,299.7963843683055,0.8832553164567013,73.05621900953406,2070,73.05621900953406,2141,73.05621900953406,1965,73.05621900953406,2120,73.05621900953406,2089,73.05621900953406,2119,73.05621900953405,1996
LIGHT_2025-07-10_03-08-12_I_500.00s_0_4_-20.00c_4.26_0162_calibrated.fits,8,0,60866.84192425944,2460866.8419242594,500,62.69860548241611,0.9955,2460866.8454299946,2460866.844629255,2.7111111080901185,4.584993163873083,1.414,3.5,10,30,0.0557494595564084,0.3040124232986436,0.179767629694686,0.2960210399714245,0.15423333411005,0.0975584688055861,0.0832410284665491,0.094961088618041,0.0008386516521765,0.0019484837331748,0.0014080004244316,0.0019137072696897,0.0012981805426889,0.0010563983679901,0.0009934844967183,0.0010475012079992,66.47510848124543,156.0251277044514,127.67583487573016,154.68459814098452,118.80730687165745,92.35007527624032,83.786942565796,90.65487265587286,786228.9118843288,2231.667434623499,2742.87243954919,1851.553529798412,2743.37243954919,1820.946470201588,22.281154291672177,22.49290280809653,43831.8369251744,66.04307068434815,647.5281924041905,12.803301711756612,0.016211341803443,67.69100934807537,6273,663.6856292565195,753.6387975575387,2129,2.6197223556624145,3.2380715837073515,3.207452387925729,3.2686907794889737,305.93171879226406,0.9409883993945763,2917.2314867974446,1920.710586518316,2917.7314867974446,1751.7894134816845,22.277578063032895,22.547304009621044,183298.3739255907,1006.7418429335676,11.251,0.0059469446352581,182.0708806455024,23269,2775.436878180036,753.421052631579,2.809369509133928,3.179133721217412,3.185772118003282,3.1724953244315426,316.91911181537483,0.9394422388602206,2635.3539962174827,1698.808663067496,2635.8539962174827,1973.691336932504,22.281989883850205,22.42054383911765,119801.98839957592,862.2900127679964,11.723,0.0077867345900471,138.93468163339296,15589,1813.9978525857416,755.8747680890538,2.807751902637461,3.1970736926947696,3.2694516648972494,3.1246957204922903,332.85609676132407,0.925256441307138,2825.6029582041388,1800.8500493282306,2826.1029582041388,1871.6499506717691,22.278420177491807,22.48927604091796,179580.64952150168,999.4558679908678,11.262,0.0060259103283133,179.6784183002491,22238,2719.144456195937,757.1152542372881,2.7811510549267906,3.190357665820136,3.2895103612191914,3.09120497042108,342.74546207053584,0.9272786645441736,2823.7918846599305,1589.5012668554152,2824.2918846599305,2082.9987331445845,22.275842464865917,22.414454190756192,105059.0923603277,824.408345119386,11.854,0.0084866174447833,127.43574586828528,14489,1590.766317672539,751.9090909090909,2.636437419598888,3.2526051739874697,3.301056518881437,3.204153829093503,332.4008725950804,0.9491053391533284,2529.461679287929,1803.833117224676,2529.961679287929,1868.6668827753244,22.28598677122511,22.439306945129022,69885.37827746826,728.2223749092276,12.299,0.0112550921571603,95.96708462326418,9538,1058.1788150263994,752.940977261732,2.659569581087304,3.198638834708716,3.314595117188247,3.0826825522291856,336.5025765226033,0.8989191675116249,2731.025438481359,1906.962288409444,2731.525438481359,1765.537711590556,22.282144361763685,22.51039184247493,60417.3046584418,699.1696246716679,12.453,0.0124923647731338,86.41294262006011,7368,914.8167102526984,750.0195258019526,2.769484270559547,3.08182260577348,3.1758356314235416,2.9878095801234177,342.61169507365065,0.9283499980813804,2903.022680521949,1916.4771485882272,2903.522680521949,1756.0228514117728,22.277887025314723,22.54336576118892,68186.12474142265,724.9546133245187,12.326,0.0114826091768401,94.055715334692,9084,1032.449340027165,760.2621951219512,2.605402771114612,3.2315147985260406,3.196881583053029,3.266148013999052,304.55825152889264,0.941579754120076,66.04307068434817,2109,66.04307068434817,2156,66.04307068434815,2065,66.04307068434815,2134,66.04307068434815,2067,66.04307068434815,2151,66.04307068434815,1968
LIGHT_2025-07-10_03-33-14_I_500.00s_0_4_-20.00c_4.51_0166_calibrated.fits,9,0,60866.8593096761,2460866.859309676,500,62.68490751020956,0.9957,2460866.8628166355,2460866.8620158965,2.9892717503966426,4.903883070351411,1.414,3.5,10,30,0.0685732220739121,0.3027658908494321,0.1818968301715419,0.2929223180769672,0.1561618047497325,0.0964954093510314,0.0836852873853227,0.0950999301976088,0.000913425976345,0.0019720416702101,0.0014419970061382,0.0019286206879877,0.001331841909313,0.0010814622576382,0.0010237058448358,0.0010762783640867,75.07255524777342,153.5291547957894,126.14230778375573,151.88176705840326,117.25250846798345,89.22679332496264,81.74739629306809,88.35997579334766,794598.0388989891,2299.01617998302,2743.610673534141,1851.165720590286,2744.110673534141,1821.3342794097136,22.28115353433149,22.492918583251665,54488.14778091539,75.54923743020014,708.4781147406401,12.578516975091205,0.0143670151656435,76.90872399193647,6535,721.2269724265176,761.0,2091,2.960565743821495,3.360403729731748,3.469802977058288,3.2510044824052087,340.69598546470223,0.9199581753515638,2917.857660754343,1920.4150726144048,2918.357660754343,1752.0849273855954,22.27758058646281,22.54732264799358,184666.4736959013,1029.2505022838218,11.251,0.0060346191770367,179.41839550832543,19282,2444.3194925231974,769.6427560169891,3.0749072447916044,3.4222880369397357,3.51747542195728,3.3271006519221906,332.60825353753665,0.9078373426520164,2636.0656915309887,1698.4787399800175,2636.5656915309887,1974.0212600199825,22.28199151445724,22.42057832904198,122290.59326208002,889.4729403605567,11.723,0.0078684532265387,137.4865807750243,13432,1618.687327917296,762.9967712177122,2.84945180980463,3.3837658915244995,3.4007868513405506,3.3667449317084484,320.180308713479,0.9455422226084774,2826.4384714975795,1800.539964209694,2826.9384714975795,1871.960035790306,22.27841799073893,22.48932846202024,180022.8027928962,1020.1353177141692,11.262,0.0061351752320681,176.4695326854046,20015,2382.85400245395,771.2646323161581,3.232070443192701,3.3312479428444064,3.409899440567451,3.252596445121362,333.8062979933153,0.9254440242482012,2824.574306400505,1589.1575360029117,2825.074306400505,2083.342463997088,22.275842285467856,22.41447943197974,107325.69031021088,852.4497236254557,11.854,0.0085895489977102,125.9026630377172,11904,1420.6058718907518,761.1534608378871,2.993008178767048,3.397393541243656,3.5084321211885903,3.2863549612987204,338.28395585281555,0.9137840356564634,2530.1317626185537,1803.453488229204,2530.6317626185537,1869.046511770796,22.285988535849786,22.439327558340384,69927.39083008602,755.1735258516,12.299,0.0116624334358209,92.59777843937228,8127,925.5869841795804,768.0869140625,2.8458770719310698,3.3839397921715832,3.475718856275196,3.2921607280679708,334.82702560481124,0.9183796441215898,2731.638569129843,1906.59802744486,2732.138569129843,1765.9019725551404,22.28214682631459,22.510396978949597,61361.140559096566,728.0974780135282,12.453,0.0128072666572519,84.2759965691798,7321,812.2006607384761,758.7898850574712,2.9343524626633264,3.3827761625374446,3.496011900324256,3.269540424750633,349.859945961504,0.93107622606252,2903.7240518360845,1916.1445165819696,2904.2240518360845,1756.3554834180304,22.277887225581285,22.54338514737264,69003.94744871813,753.1248889426378,12.326,0.0117857736873296,91.62351219808626,7887,913.3639173058604,770.4314496314496,3.0239410482012623,3.381474510793201,3.466613989146448,3.296335032439954,331.9764464964114,0.9136115274760715,75.54923743020014,2119,75.54923743020014,2168,75.54923743020014,1999,75.54923743020014,2196,75.54923743020014,2048,75.54923743020014,2175,75.54923743020014,2035
LIGHT_2025-07-10_03-58-06_I_500.00s_0_4_-20.00c_4.67_0170_calibrated.fits,10,0,60866.87658034731,2460866.876580348,500,62.671600595179534,0.9959,2460866.880088471,2460866.8792877314,3.003206695127882,4.929730198078922,1.414,3.5,10,30,0.0929469153941722,0.3013774994706406,0.1828726835244999,0.2921853097256528,0.1572937209556446,0.0981950787558959,0.0833156270457246,0.0934468322385657,0.0010209904683141,0.0020017292603371,0.0014735069350018,0.001960136452132,0.001362647569855,0.0011119605841561,0.0010458412770685,0.001093945215452,91.03602656316087,150.5585722516198,124.10710745944098,149.0637600294892,115.43243053842582,88.3080570975664,79.66373949138952,85.42185743730401,776684.4988484157,2291.249486076148,2743.734790796433,1849.6925070537832,2744.234790796433,1822.8074929462168,22.28115406650164,22.49291577392178,72190.42840242869,76.3477381026716,763.8554961052845,12.248315912004903,0.011861417237628,94.50796488407865,7511,945.5477031336252,771.0102851799907,2139,3.029890318160411,3.465456567211977,3.4044968345803657,3.5264162998435897,296.4086387335336,0.943404148013645,2918.0557184678223,1919.0083551752089,2918.5557184678223,1753.4916448247914,22.27757954511539,22.547351086828154,179867.28081264475,1022.4194846232012,11.251,0.0061541751435416,175.9231739200788,16400,2355.895345200158,779.9411210551107,3.0210875104199846,3.355896667100824,3.367029201584868,3.3447641326167803,317.2395483268824,0.9183657380169912,2636.3013977326827,1697.0473030830365,2636.8013977326827,1975.4526969169635,22.281990372228165,22.420609923883116,120075.79559034535,887.0383215865694,11.723,0.0079912001694656,135.36708918683024,11982,1572.7485656335848,768.9404315196998,3.123732919617817,3.401081507415907,3.3524082984057704,3.449754716426044,306.7357957777557,0.9039969796177711,2826.548741310674,1799.1440338545556,2827.048741310674,1873.3559661454444,22.278419837253374,22.48934608967863,175621.7155133261,1013.7126150598208,11.262,0.0062490004563627,173.24605899568724,18055,2300.287079587767,779.3827775012444,2.9389101944505907,3.494548442548948,3.4588064916149404,3.530290393482956,308.0910345893752,0.9177329190439782,2824.765478680645,1587.7095922891042,2825.265478680645,2084.790407710896,22.27584205048162,22.41448749869756,105563.17088764338,851.0860011617739,11.854,0.0087184740361279,124.03349455113174,10941,1382.6627155042002,766.7706855791962,2.975692650869346,3.446156651905397,3.3647597452625955,3.527553558548198,294.6754482655975,0.9299693262585011,2530.379087569678,1801.9821898925932,2530.879087569678,1870.5178101074064,22.285986478586437,22.43935375223208,69447.22026919236,757.2084779960024,12.299,0.0117741068114182,91.71479491749562,7530,909.6172590706028,775.4924670433145,2.899689883018428,3.451015087075844,3.4287187004778468,3.4733114736738395,310.9625723332932,0.9118792678191732,2731.809037197805,1905.236654832285,2732.309037197805,1767.263345167715,22.282147424686148,22.51044340087244,59733.24340821942,727.6396609565325,12.453,0.0131459730784076,82.09179160148577,6607,782.3839303253596,767.454851104707,3.06431669382356,3.433583172923996,3.3902400004189137,3.476926345429077,308.9937844776592,0.8852489407782713,2903.885330909869,1914.6855813032284,2904.385330909869,1757.8144186967716,22.27788651005368,22.54338927627545,66376.07236704428,750.240506966266,12.326,0.0122031056483557,88.47305864015262,6719,869.3914713987006,782.05522971652,2.972333390662917,3.4765148829565646,3.391069610522451,3.5619601553906777,301.7123494476531,0.8956062209442119,76.3477381026716,2123,76.3477381026716,2132,76.34773810267158,2009,76.34773810267158,2115,76.34773810267158,2124,76.3477381026716,2082,76.34773810267158,2046
LIGHT_2025-07-11_02-57-14_I_500.00s_0_4_-10.00c_4.31_0160_calibrated.fits,12,0,60867.83431190997,2460867.83431191,500,61.90657059321663,0.9963,2460867.837887145,2460867.837086406,2.924382598308484,4.6462506238575205,1.414,3.5,10,30,0.1065519953118112,0.3030050595797171,0.1823220567564986,0.2939851670184628,0.1568048213478691,0.0960300942165123,0.0827358790624102,0.0946624670205086,0.001110671258755,0.002057889238206,0.0015180427843159,0.0020171959297596,0.0014076530333448,0.0011525090349187,0.0010931517877619,0.0011469674012144,95.9347732030563,147.24070370467103,120.1033716837301,145.73952023267375,111.39451102895428,83.32263896159854,75.68562754839888,82.53283129082895,790933.1613478016,2409.0839965813448,2753.4867789651053,1846.525620816852,2753.9867789651053,1825.974379183148,22.2811535833324,22.49290951306062,84275.50649988698,67.81958649952767,840.1265677697077,12.09999939881192,0.0112588633541748,100.31286919495238,11702,1242.6425882215296,1112.144596651446,1971,2.966279803920097,3.1930215392760948,3.233319739938621,3.1527233386135687,322.22762672008207,0.903527861741066,2927.7448917701454,1915.6698780976285,2928.2448917701454,1756.8301219023715,22.277580179143783,22.54728675733525,183926.1850257632,1063.678742971308,11.251,0.0062609242698017,172.91516469717064,21691,2711.9921326421554,1117.1516771998056,2.8519836911274234,3.251951193196738,3.3145445626515584,3.189357823741919,328.802294791877,0.9201306991185212,2645.9075214603104,1693.7915398555135,2646.4075214603104,1978.7084601444865,22.281990474338823,22.42055016718019,121967.24226684196,931.2264335716128,11.723,0.0082581683169382,130.97484980001104,13984,1798.4073416267645,1117.2377788324632,2.911006638375897,3.229058781415437,3.280451377367916,3.1776661854629595,324.7379488133289,0.9087009966075016,2836.279917504693,1795.807146383609,2836.779917504693,1876.692853616391,22.278417804036756,22.48929108149747,179694.9636409214,1055.9496511622233,11.262,0.0063614879231253,170.17379895257454,21587,2649.602761027935,1121.9613670133729,2.947623817476374,3.2390775868968267,3.3078071455828666,3.1703480282107868,325.58506189557806,0.8886935554401023,2834.446311164975,1584.51136463834,2834.946311164975,2087.9886353616603,22.27584108366717,22.41449400373773,107210.9406656354,896.2983879048732,11.854,0.0090391738603788,119.6152331772508,14138,1580.8256316393504,1113.623320537428,2.995811366853,3.2214492439528923,3.271053081981479,3.171845405924305,322.6523790965356,0.8894269899493364,2540.001600216645,1798.832094016307,2540.501600216645,1873.667905983693,22.28598781041645,22.439311058803884,69298.63185689984,802.5761545962864,12.299,0.0125021035484874,86.34524145781354,8633,1021.8085280921384,1120.9820562560622,2.897522407516665,3.204963154247687,3.1996987752531205,3.2102275332422527,314.2561215378955,0.8805474423742514,2741.583511702165,1901.9390411665577,2742.083511702165,1770.5609588334423,22.282145173254712,22.510387939695,60438.14715033522,775.9271443505821,12.453,0.0138503614212425,77.89152318020705,7700,891.16065534779,1108.872842870118,2.8149092490523557,3.2322986931865545,3.361320822489553,3.103276563883555,331.668528894874,0.8641013322912119,2913.6118810681933,1911.4558844975936,2914.1118810681933,1761.0441155024064,22.27788742211203,22.543368517802687,68397.05074140459,800.3241096803907,12.326,0.012630608504218,85.46168972557747,9233,1008.5147119244224,1120.6811377245508,3.009923812146058,3.2592407585810528,3.31893673721025,3.1995447799518555,323.3314075334164,0.8794912660610489,67.81958649952767,2057,67.81958649952767,2107,67.81958649952769,2019,67.81958649952767,2084,67.81958649952767,2062,67.81958649952769,2202,67.81958649952767,2004
LIGHT_2025-07-11_03-22-04_I_500.00s_0_4_-10.00c_4.12_0164_calibrated.fits,13,0,60867.8515585186,2460867.8515585186,500,61.89328387547594,0.9961,2460867.855134921,2460867.854334182,2.7554023954272258,4.394530101716813,1.414,3.5,10,30,0.0927225594925474,0.3021309941951411,0.1819187402531276,0.2959538374892945,0.1572041202589727,0.0963930668682847,0.0821251820106177,0.0941243475694538,0.0010249152434138,0.0020065049646258,0.0014737677186344,0.0019793949845728,0.0013680793885057,0.0011098261833756,0.0010475692307505,0.0011010609291965,90.46851443413834,150.57575212702827,123.43786470075088,149.51732210899567,114.90862414840248,86.85420141656459,78.39594711251993,85.48513989878941,785151.546640187,2322.57746335127,2753.904149199841,1845.2970612533927,2754.404149199841,1827.2029387466068,22.28115309104912,22.4929071708388,72801.26099401033,60.670106877373534,775.3620861198344,12.250939837600136,0.0119354168335264,93.89324329531208,10533,1199.952740171635,1047.3220027560862,2177,2.812110695809051,3.052553336933146,3.0136120643804123,3.09149460948588,285.4646845540807,0.9706908030991804,2928.270736883841,1914.515465632565,2928.770736883841,1757.984534367435,22.27757695655117,22.5473180949847,182177.2298161748,1033.9004829669043,11.251,0.0061444003418818,176.20383471859387,28190,3002.751094280937,1052.758932825155,2.544610529099736,3.1084651637650165,3.059737780257119,3.157192547272914,298.3559107301444,0.9444333746124756,2646.432288959834,1692.5833237174309,2646.932288959834,1979.9166762825687,22.281988764381943,22.42057645853468,120849.06974398876,898.1468037983552,11.723,0.0080393230441578,134.55380482667826,19732,1991.9046786624092,1049.140275796481,2.748732419845392,3.080079144913189,3.045742697172977,3.1144155926534007,304.7550460110579,0.9382179198580738,2836.7173432937875,1794.6570891703325,2837.2173432937875,1877.842910829668,22.27841787359929,22.489311695217243,179303.1561131804,1028.7489043261332,11.262,0.0062115911283924,174.2924394467572,26663,2955.378939344677,1057.618623080733,2.7192651512003616,3.0912110522659395,3.090016700349633,3.0924054041822457,299.0140764924429,0.9985416928125612,2834.899859614165,1583.2366988402646,2835.399859614165,2089.2633011597354,22.27584055611604,22.41446601230588,106661.44027548052,864.1473738630167,11.854,0.0087609524248138,123.42968746021826,15314,1758.0559152642456,1051.1738717339667,2.794333793922071,3.0336424157580373,2.9748127020372244,3.09247212947885,299.79383616137,0.9261322780217228,2540.497976130242,1797.5564182975002,2540.997976130242,1874.9435817025,22.285985601086807,22.439320673442428,69029.22667433912,766.1547640606525,12.299,0.0119841924661748,90.09828028541035,11617,1137.779875909252,1052.6204379562043,2.80982905386261,3.0556000701130794,3.0378124079238185,3.0733877323023404,306.4197665189922,0.9612898688037546,2742.006925833049,1900.7599201191124,2742.506925833049,1771.7400798808876,22.282144828954813,22.51040688483466,59587.111311776745,738.250209489607,12.453,0.0133690030570738,80.71397819578351,9121,982.1494369906792,1047.8495412844036,2.7924398237724875,3.0329796570189007,2.962360381429201,3.103598932608601,295.63462406848697,0.928182673743773,2914.0574191609744,1910.26159196706,2914.5574191609744,1762.2384080329402,22.27788581103719,22.543372928272845,67544.31270524667,762.6707659298147,12.326,0.0121907995830898,88.56287106127584,9734,1113.3046599335532,1055.799306243806,2.8218976959060997,3.065821088823125,2.9936382531166874,3.138003924529564,297.17987533336816,0.9222456343757346,60.670106877373534,2099,60.67010687737354,2103,60.67010687737354,2019,60.670106877373534,2105,60.670106877373534,2055,60.670106877373534,2180,60.670106877373534,2018
