BJD_TDB,Source_AMag_T1,TOM,TOM_uncertainty
2458955.8224451337,9.567577362060549,,
2458955.823834015,9.574396133422852,,
2458955.8252228964,9.58046531677246,,
2458955.826611778,9.59206199645996,,
2458955.8280006596,9.599327087402344,,
2458955.829389541,9.610235214233398,,
2458955.8307784223,9.625682830810549,,
2458955.832167304,9.63530445098877,,
2458955.8335561855,9.651813507080078,,
2458955.834945067,9.664213180541992,,
2458955.8363339487,9.676658630371094,,
2458955.83772283,9.69443130493164,,
2458955.8391117114,9.706659317016602,,
2458955.840500593,9.722002983093262,,
2458955.8418894745,9.736571311950684,,
2458955.8432783564,9.75118637084961,,
2458955.8446672377,9.762399673461914,,
2458955.846056119,9.774999618530272,,
2458955.8474450004,9.778193473815918,,
2458955.848833882,9.778517723083496,,
2458955.8502227636,9.779759407043455,,
2458955.851611645,9.782754898071287,,
2458955.8530005263,9.782955169677734,,
2458955.854389408,9.78233814239502,,
2458955.8557782895,9.78135871887207,,
2458955.857167171,9.783485412597656,,
2458955.858556052,9.781952857971191,,
2458955.859944934,9.782496452331545,,
2458955.8613338154,9.783193588256836,,
2458955.8627226967,9.783373832702637,,
2458955.8641115786,9.783726692199709,,
2458955.86550046,9.783937454223633,2458955.859809893,2.3704707555349877e-05
2458955.8668893413,9.782672882080078,,
2458955.8682782226,9.780783653259276,,
2458955.8696671044,9.783296585083008,,
2458955.871055986,9.783309936523438,,
2458955.872444867,9.781682968139648,,
2458955.873833749,9.773612022399902,,
2458955.8752226303,9.76361846923828,,
2458955.8766115117,9.748149871826172,,
2458955.878000393,9.73587131500244,,
2458955.879389275,9.719162940979004,,
2458955.880778156,9.704237937927246,,
2458955.8821670376,9.690826416015623,,
2458955.8835559194,9.674806594848633,,
2458955.8849448008,9.659631729125977,,
2458955.886333682,9.644933700561523,,
2458955.8877225635,9.6349515914917,,
2458955.8891114453,9.620686531066896,,
2458955.890500326,9.609580993652344,,
2458955.891889208,9.597925186157228,,
2458955.89327809,9.589540481567385,,
2458955.894666971,9.579143524169922,,
2458955.8960558525,9.570408821105955,,

2458955.975222099,9.575358390808104,,
2458955.9766109805,9.583252906799316,,
2458955.977999862,9.59242343902588,,
2458955.9793887436,9.60283660888672,,
2458955.980777625,9.614415168762209,,
2458955.982166507,9.624863624572754,,
2458955.983555388,9.636127471923828,,
2458955.98494427,9.648969650268556,,
2458955.9863331513,9.660966873168944,,
2458955.9877220327,9.673076629638672,,
2458955.9891109145,9.688735008239746,,
2458955.9904997963,9.697636604309082,,
2458955.9918886777,9.714727401733398,,
2458955.993277559,9.725799560546877,,
2458955.994666441,9.734111785888672,,
2458955.9960553227,9.745153427124023,,
2458955.997444204,9.746028900146484,,
2458955.998833086,9.752460479736328,,
2458956.000221967,9.752364158630373,,
2458956.0016108486,9.753905296325684,,
2458956.0029997304,9.755149841308594,,
2458956.004388612,9.755109786987305,,
2458956.0057774936,9.75738525390625,,
2458956.0071663754,9.757046699523926,,
2458956.0085552568,9.757488250732422,2458956.008450538,4.049920809971688e-05
2458956.0099441386,9.755829811096191,,
2458956.01133302,9.753731727600098,,
2458956.0127219018,9.755154609680176,,
2458956.0141107836,9.754085540771484,,
2458956.015499665,9.750234603881836,,
2458956.0168885468,9.750947952270508,,
2458956.018277428,9.748019218444824,,
2458956.0196663095,9.74571704864502,,
2458956.0210551913,9.743221282958984,,
2458956.022444073,9.730976104736328,,
2458956.023832955,9.72216510772705,,
2458956.0252218363,9.708044052124023,,
2458956.026610718,9.696249961853027,,
2458956.0279995995,9.681600570678713,,
2458956.0293884813,9.672808647155762,,
2458956.030777362,9.659173965454102,,
2458956.0321662445,9.64744758605957,,
2458956.0335551263,9.636164665222168,,
2458956.0349440076,9.624671936035156,,
2458956.0363328895,9.614447593688965,,
2458956.0377217713,9.602453231811523,,
2458956.0391106526,9.595917701721191,,
2458956.0404995345,9.58615493774414,,
2458956.0418884163,9.575479507446287,,

2458956.119665794,9.56739330291748,,
2458956.121054676,9.57516098022461,,
2458956.1224435577,9.583250045776367,,
2458956.1238324395,9.591221809387209,,
2458956.125221322,9.602420806884766,,
2458956.126610203,9.61341953277588,,
2458956.127999085,9.625130653381348,,
2458956.1293879673,9.637247085571287,,
2458956.130776849,9.65131664276123,,
2458956.132165731,9.663548469543455,,
2458956.1335546128,9.679656982421877,,
2458956.1349434946,9.693851470947266,,
2458956.1363323764,9.707643508911133,,
2458956.137721258,9.722508430480955,,
2458956.13911014,9.736599922180176,,
2458956.140499022,9.749626159667969,,
2458956.141887904,9.76400375366211,,
2458956.143276786,9.774394035339355,,
2458956.144665668,9.7782621383667,,
2458956.1460545496,9.778643608093262,,
2458956.1474434314,9.781851768493652,,
2458956.1488323137,9.781990051269531,,
2458956.150221195,9.781320571899414,,
2458956.151610078,9.782896041870115,,
2458956.152998959,9.781575202941896,,
2458956.154387841,9.78284740447998,,
2458956.155776723,9.780975341796877,,
2458956.157165605,9.784263610839844,,
2458956.158554487,9.782831192016602,,
2458956.1599433688,9.784940719604492,,
2458956.1613322506,9.78447437286377,,
2458956.162721133,9.785303115844728,,
2458956.1641100147,9.782459259033203,,
2458956.1654988965,9.783750534057615,,
2458956.166887779,9.787191390991213,2458956.1569776987,3.2114655220131655e-05
2458956.16827666,9.782995223999023,,
2458956.1696655424,9.781604766845703,,
2458956.1710544243,9.775019645690918,,
2458956.1724433065,9.760988235473633,,
2458956.1738321884,9.749608993530272,,
2458956.17522107,9.735833168029783,,
2458956.1766099525,9.72060203552246,,
2458956.1779988343,9.702958106994627,,
2458956.179387716,9.688177108764648,,
2458956.1807765984,9.671640396118164,,
2458956.18216548,9.660247802734377,,
2458956.183554362,9.646467208862305,,
2458956.1849432443,9.632665634155272,,
2458956.186332126,9.621848106384276,,
2458956.187721008,9.6107177734375,,
2458956.1891098903,9.598077774047852,,
2458956.190498772,9.587200164794922,,
2458956.191887654,9.578763961791992,,
2458956.193276536,9.571070671081545,,

2458956.2724428168,9.573359489440918,,
2458956.273831699,9.58253288269043,,
2458956.2752205813,9.592988967895508,,
2458956.2766094636,9.601760864257812,,
2458956.277998346,9.610876083374023,,
2458956.279387228,9.623262405395508,,
2458956.2807761105,9.635644912719728,,
2458956.2821649928,9.647540092468262,,
2458956.283553875,9.66242790222168,,
2458956.284942757,9.67298412322998,,
2458956.286331639,9.685514450073242,,
2458956.2877205214,9.699496269226074,,
2458956.2891094037,9.712014198303224,,
2458956.290498286,9.724742889404297,,
2458956.2918871683,9.73557949066162,,
2458956.2932760506,9.743008613586426,,
2458956.294664933,9.746782302856444,,
2458956.296053815,9.749319076538086,,
2458956.2974426975,9.750825881958008,,
2458956.2988315797,9.755260467529297,,
2458956.300220462,9.75444793701172,,
2458956.3016093443,9.755873680114746,,
2458956.3029982266,9.753997802734377,,
2458956.304387109,9.757322311401367,2458956.3057089956,4.663841612399209e-05
2458956.305775991,9.75600814819336,,
2458956.3071648735,9.755765914916992,,
2458956.3085537557,9.755250930786133,,
2458956.309942638,9.75151538848877,,
2458956.311331521,9.752056121826172,,
2458956.3127204026,9.749567031860352,,
2458956.314109286,9.747506141662598,,
2458956.3154981676,9.746228218078612,,
2458956.31688705,9.742490768432615,,
2458956.318275932,9.740053176879885,,
2458956.3196648145,9.732562065124512,,
2458956.321053697,9.722243309020996,,
2458956.322442579,9.708412170410156,,
2458956.3238314614,9.696675300598145,,
2458956.325220344,9.682125091552734,,
2458956.3266092264,9.671603202819824,,
2458956.3279981087,9.659015655517578,,
2458956.329386991,9.644942283630373,,
2458956.3307758733,9.638113021850586,,
2458956.3321647556,9.622807502746582,,
2458956.3335536383,9.615130424499512,,
2458956.3349425206,9.604424476623535,,
2458956.336331403,9.594619750976562,,
2458956.337720285,9.583349227905272,,
2458956.339109168,9.576322555541992,,

2458956.416886587,9.567419052124023,,
2458956.41827547,9.575742721557615,,
2458956.419664352,9.58276653289795,,
2458956.421053235,9.592772483825684,,
2458956.4224421177,9.60220718383789,,
2458956.423831,9.61524772644043,,
2458956.4252198827,9.624773025512695,,
2458956.4266087655,9.637555122375488,,
2458956.427997648,9.65146541595459,,
2458956.4293865305,9.663583755493164,,
2458956.4307754133,9.679885864257812,,
2458956.4321642956,9.692687034606934,,
2458956.4335531783,9.708643913269045,,
2458956.434942061,9.72343635559082,,
2458956.436330944,9.738855361938477,,
2458956.437719826,9.75283432006836,,
2458956.439108709,9.76430892944336,,
2458956.4404975916,9.77484130859375,,
2458956.441886474,9.778303146362305,,
2458956.4432753567,9.78142261505127,,
2458956.4446642394,9.7825927734375,,
2458956.446053122,9.781850814819336,,
2458956.4474420045,9.78360652923584,,
2458956.448830887,9.782929420471191,,
2458956.45021977,9.782968521118164,,
2458956.4516086527,9.783910751342772,,
2458956.4529975355,9.784137725830078,,
2458956.454386418,9.783487319946287,,
2458956.4557753005,9.782943725585938,,
2458956.4571641833,9.784704208374023,2458956.45413904,2.519265611241957e-05
2458956.458553066,9.783831596374512,,
2458956.4599419488,9.784137725830078,,
2458956.4613308315,9.781895637512209,,
2458956.4627197143,9.78461742401123,,
2458956.464108597,9.782814025878906,,
2458956.4654974793,9.782915115356444,,
2458956.466886362,9.78264331817627,,
2458956.4682752453,9.775249481201172,,
2458956.4696641276,9.76190948486328,,
2458956.4710530103,9.749313354492188,,
2458956.472441893,9.73197078704834,,
2458956.473830776,9.71835708618164,,
2458956.4752196586,9.706831932067873,,
2458956.4766085413,9.687908172607422,,
2458956.477997424,9.673996925354004,,
2458956.479386307,9.657877922058104,,
2458956.4807751896,9.644979476928713,,
2458956.4821640723,9.635293960571287,,
2458956.483552955,9.619437217712402,,
2458956.484941838,9.609437942504885,,
2458956.4863307206,9.597284317016602,,
2458956.4877196033,9.5869722366333,,
2458956.489108486,9.57925033569336,,
2458956.490497369,9.569271087646484,,

2458956.5696636913,9.571603775024414,,
2458956.5710525746,9.582815170288086,,
2458956.5724414573,9.591602325439451,,
2458956.57383034,9.604999542236328,,
2458956.5752192233,9.612041473388672,,
2458956.576608106,9.624656677246094,,
2458956.577996989,9.63472843170166,,
2458956.579385872,9.64918613433838,,
2458956.580774755,9.659847259521484,,
2458956.582163638,9.673173904418944,,
2458956.5835525207,9.687958717346191,,
2458956.584941404,9.70168113708496,,
2458956.5863302867,9.712352752685549,,
2458956.58771917,9.725896835327148,,
2458956.5891080527,9.735757827758787,,
2458956.5904969354,9.740968704223633,,
2458956.591885818,9.745630264282228,,
2458956.593274702,9.748050689697266,,
2458956.5946635846,9.752498626708984,,
2458956.596052468,9.751523971557615,,
2458956.5974413506,9.753607749938965,,
2458956.598830234,9.755277633666992,,
2458956.6002191165,9.759130477905272,2458956.602903302,4.086225987737143e-05
2458956.601608,9.756471633911133,,
2458956.602996883,9.755029678344728,,
2458956.6043857657,9.75405216217041,,
2458956.6057746485,9.757205963134766,,
2458956.6071635317,9.753131866455078,,
2458956.608552415,9.752640724182127,,
2458956.6099412977,9.750751495361328,,
2458956.611330181,9.749639511108398,,
2458956.612719064,9.74920654296875,,
2458956.614107947,9.743896484375,,
2458956.61549683,9.740108489990234,,
2458956.616885713,9.73080062866211,,
2458956.618274596,9.719277381896973,,
2458956.619663479,9.709184646606444,,
2458956.621052362,9.695996284484863,,
2458956.6224412452,9.68411922454834,,
2458956.623830128,9.667935371398926,,
2458956.625219011,9.660005569458008,,
2458956.6266078944,9.646604537963867,,
2458956.627996777,9.635330200195312,,
2458956.6293856604,9.623523712158203,,
2458956.6307745436,9.61198616027832,,
2458956.6321634264,9.604608535766602,,
2458956.6335523096,9.593984603881836,,
2458956.634941193,9.585149765014648,,
2458956.636330076,9.575947761535645,,
2458956.637718959,9.567480087280272,,

2458956.7154964157,9.572763442993164,,
2458956.716885299,9.581088066101074,,
2458956.718274182,9.589795112609863,,
2458956.7196630654,9.60183048248291,,
2458956.7210519486,9.611639022827148,,
2458956.722440832,9.62399959564209,,
2458956.7238297155,9.636371612548828,,
2458956.7252185983,9.651045799255373,,
