TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2,BJD_TDB,Source_AMag_T1
3434.279537043727,0.003266711486503482,1588911,15864.15625,19.01589012145996,8113.37158203125,9.151922225952148,nan,nan,4096,nan,nan,nan,nan,2075.743756174067,0.001158124883659184,587.0841991969172,0.001049236860126257,0.5787519812583923,-0.6188220381736755,2460434.2795370435,9.498957633972168
3434.2809259142764,0.003266693791374564,1588912,15903.849609375,19.029783248901367,8104.44287109375,9.151973724365234,nan,nan,4096,nan,nan,nan,nan,2075.744606898479,0.001156657817773521,587.0843328942893,0.0010476928437128663,0.5802543759346008,-0.6183749437332153,2460434.280925914,9.496244430541992
3434.282314784594,0.003266675863415003,1588913,15985.6953125,19.05021858215332,8103.75390625,9.152667999267578,nan,nan,4096,nan,nan,nan,nan,2075.7458226785457,0.0011524257715791464,587.0798725605375,0.001044198521412909,0.5827342867851257,-0.623271644115448,2460434.282314785,9.490671157836914
3434.2837036551437,0.003266658168286085,1588914,16073.0615234375,19.062421798706055,8083.7548828125,9.136822700500488,nan,nan,4096,nan,nan,nan,nan,2075.743920573258,0.0011445123236626387,587.0849451327473,0.001037868671119213,0.5770331025123596,-0.6197708249092102,2460434.283703655,9.484753608703613
3434.285092525694,0.0032666404731571674,1588915,16113.1328125,19.07830810546875,8083.39111328125,9.14289665222168,nan,nan,4096,nan,nan,nan,nan,2075.7442227710917,0.0011437303619459271,587.0822702021518,0.0010366864735260606,0.5796661376953125,-0.6219942569732666,2460434.2850925256,9.482049942016602
3434.2864813960114,0.003266622545197606,1588916,16179.2978515625,19.09380340576172,8080.29931640625,9.136661529541016,nan,nan,4096,nan,nan,nan,nan,2075.748404209965,0.0011399515205994248,587.0836574222375,0.0010326787596568465,0.583480715751648,-0.6204221844673157,2460434.286481396,9.477601051330566
3434.2878702665603,0.0032666048500686884,1588917,16285.744140625,19.123151779174805,8066.44482421875,9.140432357788086,nan,nan,4096,nan,nan,nan,nan,2075.741696186308,0.0011335513554513454,587.0846410248008,0.0010272504296153784,0.5798653364181519,-0.6196215152740479,2460434.2878702665,9.470480918884277
3434.2892591368773,0.003266586922109127,1588918,16288.845703125,19.126956939697266,8076.3330078125,9.139087677001953,nan,nan,4096,nan,nan,nan,nan,2075.7482543228007,0.0011343283113092184,587.0839480733619,0.0010266859317198396,0.5855955481529236,-0.6204602718353271,2460434.2892591367,9.470273971557617
3434.290648007427,0.0032665692269802094,1588919,16330.4384765625,19.139806747436523,8077.1669921875,9.140167236328125,nan,nan,4096,nan,nan,nan,nan,2075.7441273675427,0.001131243072450161,587.0797747697276,0.0010245281737297773,0.5813502073287964,-0.6233464479446411,2460434.2906480073,9.46750545501709
3434.292036877978,0.0032665515318512917,1588920,16384.4296875,19.15513038635254,8073.10888671875,9.142156600952148,nan,nan,4096,nan,nan,nan,nan,2075.747291181563,0.0011279003228992224,587.0805952180314,0.001022819778881967,0.5820964574813843,-0.6231687664985657,2460434.292036878,9.463921546936035
3434.293425748295,0.0032665336038917303,1588921,16430.43359375,19.161266326904297,8058.1259765625,9.13109016418457,nan,nan,4096,nan,nan,nan,nan,2075.7487322733004,0.0011259361635893583,587.0824196627309,0.001019032089971006,0.5848100781440735,-0.6201092004776001,2460434.293425748,9.460877418518066
3434.2948146188446,0.0032665159087628126,1588922,16448.603515625,19.168222427368164,8077.16796875,9.134033203125,nan,nan,4096,nan,nan,nan,nan,2075.749542551837,0.0011241170577704906,587.0786084857838,0.0010180390672758222,0.5829801559448242,-0.622776985168457,2460434.294814619,9.459677696228027
3434.2962034891616,0.0032664979808032513,1588923,16479.5,19.176105499267578,8068.099609375,9.134986877441406,nan,nan,4096,nan,nan,nan,nan,2075.748563078427,0.0011227101786062121,587.0795835546664,0.0010174729395657778,0.5857958793640137,-0.6230474710464478,2460434.296203489,9.457639694213867
3434.2975923597105,0.0032664802856743336,1588924,16522.904296875,19.178903579711914,8058.43310546875,9.12608528137207,nan,nan,4096,nan,nan,nan,nan,2075.750712235594,0.0011191320372745395,587.0832316726916,0.0010141103994101286,0.5848507881164551,-0.6216127872467041,2460434.2975923596,9.454784393310547
3434.298981230261,0.003266462590545416,1588925,16524.328125,19.18384552001953,8060.1357421875,9.128386497497559,nan,nan,4096,nan,nan,nan,nan,2075.749279114493,0.0011189489159733057,587.0799748969491,0.0010147321736440063,0.5829445123672485,-0.6238621473312378,2460434.2989812302,9.454689979553223
3434.300370100578,0.0032664446625858545,1588926,16579.48828125,19.18802833557129,8040.6455078125,9.118364334106445,nan,nan,4096,nan,nan,nan,nan,2075.7501853264075,0.0011163707822561264,587.0782148092986,0.001011521089822054,0.5869030356407166,-0.6254416108131409,2460434.3003701004,9.451072692871094
3434.3017589711285,0.003266426967456937,1588927,16579.462890625,19.194782257080078,8036.92041015625,9.119574546813965,nan,nan,4096,nan,nan,nan,nan,2075.747466896781,0.0011151883518323302,587.0809879268642,0.0010119440266862512,0.5829249620437622,-0.6223003268241882,2460434.301758971,9.45107364654541
3434.3031478416788,0.003266409272328019,1588928,16573.341796875,19.180103302001953,8020.1982421875,9.111551284790039,nan,nan,4096,nan,nan,nan,nan,2075.75040048207,0.0011159413261339068,587.0765416523703,0.0010110988514497876,0.5845863223075867,-0.6264033913612366,2460434.3031478417,9.451475143432617
3434.304536711995,0.003266391344368458,1588929,16580.458984375,19.186817169189453,8022.88623046875,9.115745544433594,nan,nan,4096,nan,nan,nan,nan,2075.748287759261,0.0011160953436046839,587.0790682097196,0.0010110309813171625,0.5862280130386353,-0.6234964728355408,2460434.304536712,9.451008796691895
3434.3059255825447,0.00326637364923954,1588930,16578.734375,19.180326461791992,8023.63623046875,9.112831115722656,nan,nan,4096,nan,nan,nan,nan,2075.7516069361086,0.0011162502923980355,587.0773426724409,0.0010109873255714774,0.587877094745636,-0.6263074278831482,2460434.3059255825,9.45112133026123
3434.3073144528616,0.0032663557212799788,1588931,16608.388671875,19.182903289794922,8008.27099609375,9.102639198303223,nan,nan,4096,nan,nan,nan,nan,2075.753006367481,0.0011139294365420938,587.0777053233153,0.0010081692598760128,0.5874568819999695,-0.6249471306800842,2460434.3073144527,9.44918155670166
